country,country_code,region,former_male,former_female,current_male,current_female
Paraguay,PRY,Latin America & Caribbean,18.3,19.2,56.8,39
Peru,PER,Latin America & Caribbean,17.6,17.2,55,37.7
Philippines,PHL,East Asia & Pacific,14.4,14,44.6,27.3
Poland,POL,Europe & Central Asia,18.3,20.4,59.6,45.2
Portugal,PRT,Europe & Central Asia,16.7,20.1,65.9,52.2
Qatar,QAT,Middle East & North Africa,10.9,9.3,22.3,19.9
Republic of Korea,KOR,East Asia & Pacific,15.5,14,46.5,28.8
Republic of Moldova,MDA,Europe & Central Asia,16.7,20.1,65.3,52.8
Romania,ROM,Europe & Central Asia,15.8,16.7,73.9,67.5
Russian Federation,RUS,Europe & Central Asia,15.8,16.7,74.2,67.1
Rwanda,RWA,Sub-Saharan Africa,14.6,12.5,38,22.9
Saint Kitts and Nevis,KNA,Latin America & Caribbean,16.2,15.6,50.9,31.8
Saint Lucia,LCA,Latin America & Caribbean,17.6,19.2,55.5,36
Saint Vincent and the Grenadines,VCT,Latin America & Caribbean,17.6,19.2,55.8,36.8
Samoa,WSM,East Asia & Pacific,14.4,14,44.8,28.5
Sao Tome and Principe,STP,Sub-Saharan Africa,14.6,12.5,39.7,25.6
Saudi Arabia,SAU,Middle East & North Africa,8.7,7.9,11.8,7.9
Senegal,SEN,Sub-Saharan Africa,1.9,1.2,1.8,0.5
Serbia,SRB,Europe & Central Asia,15.8,16.7,72.9,67
Seychelles,SYC,Sub-Saharan Africa,16.2,17.2,49.3,32.8
Sierra Leone,SLE,Sub-Saharan Africa,14.6,12.5,37.9,22.8
Singapore,SGP,East Asia & Pacific,16.7,15.6,64,33.9
Slovakia,SVK,Europe & Central Asia,16.7,16.7,68.2,64.7
Slovenia,SVN,Europe & Central Asia,15.8,16.7,70.8,67
Solomon Islands,SLB,East Asia & Pacific,14.4,14,44.1,28.3
Somalia,SOM,Sub-Saharan Africa,6.8,5.6,4.7,3.5
South Africa,ZAF,Sub-Saharan Africa,14.4,12.5,41,25.5
Spain,ESP,Europe & Central Asia,15.8,15.8,73,70.5
Sri Lanka,LKA,South Asia,14.6,12.5,38.6,25
Sudan,SDN,Sub-Saharan Africa,15.8,15.8,73,71
Suriname,SUR,Latin America & Caribbean,17.6,17.2,53.9,36.5
Swaziland,SWZ,Sub-Saharan Africa,14.4,14,42.5,26.4
Sweden,SWE,Europe & Central Asia,14.5,15.8,77.3,70.2
Switzerland,CHE,Europe & Central Asia,14.5,15.8,78.9,73.1
Syrian Arab Republic,SYR,Europe & Central Asia,7.9,6.8,9.2,7.2
Tajikistan,TJK,Europe & Central Asia,18.3,19.2,56.9,38.3
Thailand,THA,East Asia & Pacific,14.6,9.3,33.7,17.8
The former Yugoslav republic of Macedonia,MKD,Europe & Central Asia,4.2,4.6,93.2,91.3
Timor-Leste,TMP,East Asia & Pacific,14.6,12.5,37.8,23.2
Togo,TGO,Sub-Saharan Africa,14.5,15.8,76.7,72.4
Tonga,TON,East Asia & Pacific,15.5,14,44.7,30.2
Trinidad and Tobago,TTO,Latin America & Caribbean,17.6,19.2,55.8,36.5
Tunisia,TUN,Middle East & North Africa,7.9,6.8,8.5,3.6
Turkey,TUR,Europe & Central Asia,15.8,15.6,70,33.3
Turkmenistan,TKM,Europe & Central Asia,4.2,15.8,95.1,70.4
Tuvalu,TUV,Latin America & Caribbean,14.4,14,41.9,26.2
Uganda,UGA,Sub-Saharan Africa,14.6,10.9,37.8,24
Ukraine,UKR,Europe & Central Asia,18.3,20.4,56.7,47.9
United Arab Emirates,ARE,Middle East & North Africa,14.6,9.3,35.9,20.2
United Kingdom of Great Britain and Northern Ireland,GBR,Europe & Central Asia,15.8,19,72.2,60.6
United Republic of Tanzania,TZA,Sub-Saharan Africa,14.6,12.5,38.1,23.4
United States of America,USA,North America,16.7,20.1,67.9,52
Uruguay,URY,Latin America & Caribbean,18.3,19.2,57.4,40.2
Uzbekistan,UZB,Europe & Central Asia,14.5,19.2,75.5,39.9
Vanuatu,VUT,East Asia & Pacific,15.5,14,44.8,30.2
Venezuela (Bolivarian Republic of),VEN,Latin America & Caribbean,17.6,19.2,57,38.2
Viet Nam,VNM,East Asia & Pacific,14.4,14,44.3,28.5
Yemen,YEM,Europe & Central Asia,6.8,5.6,5.3,4
Zambia,ZMB,Sub-Saharan Africa,14.6,12.5,40.4,26.6
Zimbabwe,ZWE,Sub-Saharan Africa,14.6,12.5,37.9,23.5
